,Finished,Involvement,Jag_Assoc,Jagathon Identity,ID_JagCom,ID_JagOverlap,ID_JagAttach,ID_JagBelong,ID_JagValue,ID_JagImportant,IUPUI Identity,ID_iupuiCom,ID_iupuiOverlap,ID_iupuiAttach,ID_iupuiBelong,ID_iupuiValue,ID_iupuiImportant,Feelings Towards Jagathon,Jag_feelings_overall,Jag_feelings_pleasant,Jag_feelings_attractive,Future Participation,Future Donation,Age,Gender,Race,Student Status,iupuiStatus_value,iupuiStatus_other,Employment,Zip
66,1,No Involvement,"3,8",1.5,1,4,1,1,1,1,2.67,5,1,2,3,4,1,4.13,4.2,4.2,4,4,2,22,1,1,Undergraduate,3,,2,46074
67,1,No Involvement,8,2,1,4,1,4,1,1,2.17,6,1,2,1,1,2,7,7,7,7,4,4,21,1,1,Undergraduate,3,,2,46052
68,1,No Involvement,3,4.5,5,6,4,4,4,4,5.67,7,6,6,6,4,5,6.03,5.9,6.1,6.1,6,6,20,2,6,Undergraduate,2,,2,46202
69,1,No Involvement,8,4,4,4,4,4,4,4,4.5,6,5,4,4,4,4,4.37,4,4,5.1,5,6,18,2,4,Undergraduate,1,,5,46202
70,1,No Involvement,"3,8",2.33,1,3,2,2,3,3,5.67,5,6,6,5,6,6,5.67,5.9,6,5.1,2,5,19,2,1,Undergraduate,2,,2,46060
71,1,No Involvement,"3,8",2,2,2,2,2,2,2,5.17,6,5,5,5,5,5,5.13,5.1,5.1,5.2,5,5,18,2,"1,4",Undergraduate,1,,2,46256
72,1,No Involvement,3,4,4,4,2,6,4,4,5.5,6,5,6,6,5,5,7,7,7,7,6,6,19,2,1,Undergraduate,1,,2,46202
73,1,No Involvement,8,2.17,2,3,2,2,2,2,6,6,6,6,6,6,6,4.67,5.1,4,4.9,4,4,26,2,1,Undergraduate,3,,2,46113
74,1,No Involvement,3,2,2,2,2,2,2,2,4.83,5,4,5,5,5,5,4.2,3.5,4.7,4.4,4,2,19,2,1,Undergraduate,1,,2,46385
75,1,No Involvement,8,2,2,2,2,2,2,2,5.17,7,4,5,5,5,5,4.07,4.1,4,4.1,5,2,38,2,1,Undergraduate,3,,1,46239
76,1,No Involvement,8,2,2,2,2,2,2,2,4.67,1,3,6,6,6,6,2,1.9,2.1,2,5,3,20,1,1,Undergraduate,2,,5,46202
77,1,No Involvement,3,3.67,4,3,2,5,4,4,6.17,6,6,7,6,6,6,1,1,1,1,5,6,22,2,1,Undergraduate,4,,3,46130
78,1,No Involvement,8,2,2,2,2,2,2,2,3.83,3,4,4,5,4,3,5,5,5,5,4,3,22,2,1,Undergraduate,3,,2,46033
79,1,No Involvement,8,3,4,4,1,4,4,1,3.83,7,1,4,6,4,1,4.03,4,4,4.1,4,7,23,2,"1,2",Undergraduate,2,,4,46214
80,1,No Involvement,8,1,1,1,1,1,1,1,4.83,6,4,4,5,5,5,4,4,4,4,1,1,23.5,2,1,Undergraduate,3,,3,"again, why 🤨"
81,1,No Involvement,3,3.67,3,3,5,5,3,3,7,7,7,7,7,7,7,6.4,6.1,6.1,7,5,7,21,2,1,Undergraduate,3,,2,47725
82,1,Some Involvement,2,7,7,7,7,7,7,7,6,6,6,7,7,5,5,7,7,7,7,7,7,22,1,"1,2",Undergraduate,4,,2,46202
83,1,No Involvement,3,3.67,2,4,4,4,4,4,2.67,2,2,3,1,4,4,6.93,6.9,6.9,7,4,4,20,2,1,Undergraduate,3,,2,46040
84,1,High Involvement,"2,4,6,7",5.83,7,5,6,6,5,6,6.5,7,7,7,7,6,5,7,7,7,7,7,7,22,2,1,Other,9,Alumni,2,46205
85,1,High Involvement,"1,2,3,4,7",6.17,7,2,7,7,7,7,6.17,7,2,7,7,7,7,7,7,7,7,7,7,23,2,1,Graduate,6,,4,46221
86,1,Some Involvement,2,4,6,4,3,4,3,4,5,6,4,5,5,5,5,3.8,3.6,3.5,4.3,4,5,23,2,"1,6",Graduate,5,,4,47041
87,1,High Involvement,"1,2,3,4,6,7",7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5.8,5.9,6.3,7,7,23,2,1,Graduate,5,,2,46202
88,1,High Involvement,"1,2,3,4,7",6.33,7,7,6,7,6,5,4.5,6,3,5,5,5,3,7,7,7,7,7,7,24,2,1,Graduate,5,,2,49007
89,1,High Involvement,"2,4,7",6.5,7,6,7,7,6,6,4.5,6,5,6,5,3,2,6.67,7,7,6,7,7,24,1,4,Other,9,Alumni,3,46033
90,1,High Involvement,"1,2,3,4,6,7",6.17,7,6,6,6,6,6,5.83,6,5,6,6,6,6,6.67,7,7,6,7,7,22,2,"1,6",Other,9,,4,60657
