"","Finished","Jag_Assoc","ID_JagCom","ID_JagOverlap","ID_JagAttach","ID_JagBelong","ID_JagValue","ID_JagImportant","ID_iupuiCom","ID_iupuiOverlap","ID_iupuiAttach","ID_iupuiBelong","ID_iupuiValue","ID_iupuiImportant","Jag_feelings_overall","Jag_feelings_pleasant","Jag_feelings_attractive","Future_part","Future_donate","Age","Gender","Race","iupuiStatus","iupuiStatus_other","Employment","Zip"
"1","1","3,8",5,5,5,5,7,5,6,6,6,7,7,7,7,7,7,6,6,23,2,"4",5,"",1,"46202"
"2","1","8",1,4,1,1,1,1,4,4,2,4,4,4,4,3.9,3.8,4,2,23,2,"1",5,"",2,"46202"
"3","1","8",4,4,4,4,4,4,5,5,5,5,5,5,4,4.2,4.2,4,4,27,1,"1",5,"",2,"46202"
"4","1","8",4,2,1,1,1,1,5,6,2,2,6,6,4.2,4,3.9,3,1,32,1,"4",5,"",4,"46222"
"5","1","3",1,1,1,1,1,1,6,5,5,6,5,5,4.9,5.8,3.9,1,3,19,2,"2",3,"",2,"46214"
"6","1","8",1,1,1,1,1,1,5,2,3,5,5,4,2,2,1.9,1,1,22,1,"1",5,"",2,"46131"
"7","1","8",4,4,4,2,2,2,5,5,2,2,5,3,4.8,4.6,4.6,2,1,36,2,"1",5,"",4,"46201"
"8","1","8",1,1,1,1,1,1,5,4,5,5,5,5,4,4,4,3,3,25,1,"1",5,"",3,"46225"
"9","1","3",2,5,5,5,2,1,6,6,6,6,5,5,6,7,7,6,5,25,2,"4",5,"",2,"46202"
"10","1","3,8",1,1,1,1,1,1,7,7,7,5,4,4,3,3.9,2.7,1,1,18,2,"1",1,"",2,"46202"
"11","1","1,3",1,1,1,1,1,1,6,5,5,7,7,7,4,3.5,4,1,1,23,2,"6",4,"",2,"46214"
"12","1","3",1,5,1,1,1,1,5,5,2,4,4,4,7,6,5,1,4,23,1,"1",5,"",2,"46222"
"13","1","3,8",2,1,1,1,1,1,5,5,5,6,5,5,5,5,4.5,5,5,23,1,"1",5,"",2,"46060"
"14","1","1",6,4,4,4,4,4,4,4,5,5,5,5,7,7,7,5,5,23,2,"4",5,"",2,"46217"
"15","1","1,2,3,4",5,5,1,5,6,6,7,5,6,6,6,6,1,1,1,1,3,22,1,"7",9,"",4,"46302"
"16","1","3",2,2,2,2,2,2,7,5,6,6,6,6,6,5,5.1,3,2,23,1,"1",5,"",2,"46250"
"17","1","8",4,4,4,4,4,4,6,4,4,4,4,4,4.6,5.6,4.2,3,4,22,2,"1,2",5,"",2,"46220"
"18","1","8",4,4,4,4,3,1,6,4,4,4,4,4,6.2,4.5,5.8,5,5,26,2,"4",5,"",2,"46202"
"19","1","3,8",3,3,3,3,3,2,7,6,6,6,6,6,6.1,6.2,6.4,5,6,23,2,"4",5,"",2,"94521"
"20","1","2",6,5,6,3,7,7,6,6,6,5,5,5,4.1,2.9,3.5,2,2,22,2,"1",5,"",4,"46226"
"21","1","1",4,4,2,2,2,2,6,6,6,6,5,4,5,6.1,5.3,3,3,22,2,"1",5,"",2,"47274"
"22","1","2,4,7",6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,6,5,23,2,"1",5,"",2,"47274"
"23","1","3,8",2,2,2,2,2,2,7,5,6,6,6,6,4,4,4,4,4,26,2,"1",5,"",4,"46237"
"24","1","1",2,2,2,2,2,2,7,7,7,7,7,7,4,4,5.7,2,4,24,1,"1",7,"",4,"46204"
"25","1","1,3",2,1,1,1,2,1,5,5,6,6,6,5,2.7,4.3,2.7,1,2,23,2,"1",5,"",2,"46208"
"26","1","8",1,1,1,1,1,1,6,4,7,7,4,4,5,5,6,5,6,28,2,"4",5,"",2,"46143"
"27","1","8",4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,25,1,"4",5,"",2,"46202"
"28","1","8",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,23.5,1,"7",5,"",4,"12345"
"29","1","8",5,5,5,5,2,2,1,1,1,1,1,1,6.1,6.3,5.9,5,3,41,1,"2",4,"",4,"46037"
"30","1","8",2,2,2,4,4,4,6,4,5,7,5,5,4,4,3,2,3,21,2,"1",3,"",3,"46074"
"31","1","3,8",3,2,1,1,1,2,7,5,7,7,5,5,4,4,5,3,2,21,2,"1",4,"",3,"46204"
"32","1","3,8",1,1,1,1,1,1,7,6,6,6,6,6,4,4,3.4,2,1,32,1,"1",5,"",2,"46202"
"33","1","3,8",2,4,1,4,1,1,4,4,4,4,4,4,4,4,4,4,2,21,2,"6",4,"",2,"46176"
