"","V1","Finished","Jag_Assoc_Group","Jag_Assoc","ID_JagAvg","ID_JagCom","ID_JagOverlap","ID_JagAttach","ID_JagBelong","ID_JagValue","ID_JagImportant","ID_iupuiAvg","ID_iupuiCom","ID_iupuiOverlap","ID_iupuiAttach","ID_iupuiBelong","ID_iupuiValue","ID_iupuiImportant","Jag_feelingsAvg","Jag_feelings_overall","Jag_feelings_pleasant","Jag_feelings_attractive","Future_part","Future_donate","Age","Gender","Race","iupuiStatus","iupuiStatus_value","iupuiStatus_other","Employment","Zip"
"1",1,1,"No Involvement","3,8",5.33,5,5,5,5,7,5,6.5,6,6,6,7,7,7,7,7,7,7,6,6,23,"Female","4","Graduate","Graduate","","Part-Time Student","46202"
"2",2,1,"No Involvement","8",1.5,1,4,1,1,1,1,3.67,4,4,2,4,4,4,3.9,4,3.9,3.8,4,2,23,"Female","1","Graduate","Graduate","","Full-Time Student","46202"
"3",3,1,"No Involvement","8",4,4,4,4,4,4,4,5,5,5,5,5,5,5,4.13,4,4.2,4.2,4,4,27,"Male","1","Graduate","Graduate","","Full-Time Student","46202"
"4",4,1,"No Involvement","8",1.67,4,2,1,1,1,1,4.5,5,6,2,2,6,6,4.03,4.2,4,3.9,3,1,32,"Male","4","Graduate","Graduate","","Full-Time Employed","46222"
"5",5,1,"No Involvement","3",1,1,1,1,1,1,1,5.33,6,5,5,6,5,5,4.87,4.9,5.8,3.9,1,3,19,"Female","2","Undergraduate","Junior","","Full-Time Student","46214"
"6",6,1,"No Involvement","8",1,1,1,1,1,1,1,4,5,2,3,5,5,4,1.97,2,2,1.9,1,1,22,"Male","1","Graduate","Graduate","","Full-Time Student","46131"
"7",7,1,"No Involvement","8",3,4,4,4,2,2,2,3.67,5,5,2,2,5,3,4.67,4.8,4.6,4.6,2,1,36,"Female","1","Graduate","Graduate","","Full-Time Employed","46201"
"8",8,1,"No Involvement","8",1,1,1,1,1,1,1,4.83,5,4,5,5,5,5,4,4,4,4,3,3,25,"Male","1","Graduate","Graduate","","Part-Time Employed","46225"
"9",9,1,"No Involvement","3",3.33,2,5,5,5,2,1,5.67,6,6,6,6,5,5,6.67,6,7,7,6,5,25,"Female","4","Graduate","Graduate","","Full-Time Student","46202"
"10",10,1,"No Involvement","3,8",1,1,1,1,1,1,1,5.67,7,7,7,5,4,4,3.2,3,3.9,2.7,1,1,18,"Female","1","Undergraduate","Freshman","","Full-Time Student","46202"
"11",11,1,"Some Involvement","1,3",1,1,1,1,1,1,1,6.17,6,5,5,7,7,7,3.83,4,3.5,4,1,1,23,"Female","6","Undergraduate","Senior","","Full-Time Student","46214"
"12",12,1,"No Involvement","3",1.67,1,5,1,1,1,1,4,5,5,2,4,4,4,6,7,6,5,1,4,23,"Male","1","Graduate","Graduate","","Full-Time Student","46222"
"13",13,1,"No Involvement","3,8",1.17,2,1,1,1,1,1,5.17,5,5,5,6,5,5,4.83,5,5,4.5,5,5,23,"Male","1","Graduate","Graduate","","Full-Time Student","46060"
"14",14,1,"Some Involvement","1",4.33,6,4,4,4,4,4,4.67,4,4,5,5,5,5,7,7,7,7,5,5,23,"Female","4","Graduate","Graduate","","Full-Time Student","46217"
"15",15,1,"High Involvement","1,2,3,4",4.67,5,5,1,5,6,6,6,7,5,6,6,6,6,1,1,1,1,1,3,22,"Male","7","Other","Other","","Full-Time Employed","46302"
"16",16,1,"No Involvement","3",2,2,2,2,2,2,2,6,7,5,6,6,6,6,5.37,6,5,5.1,3,2,23,"Male","1","Graduate","Graduate","","Full-Time Student","46250"
"17",17,1,"No Involvement","8",4,4,4,4,4,4,4,4.33,6,4,4,4,4,4,4.8,4.6,5.6,4.2,3,4,22,"Female","1,2","Graduate","Graduate","","Full-Time Student","46220"
"18",18,1,"No Involvement","8",3.33,4,4,4,4,3,1,4.33,6,4,4,4,4,4,5.5,6.2,4.5,5.8,5,5,26,"Female","4","Graduate","Graduate","","Full-Time Student","46202"
"19",19,1,"No Involvement","3,8",2.83,3,3,3,3,3,2,6.17,7,6,6,6,6,6,6.23,6.1,6.2,6.4,5,6,23,"Female","4","Graduate","Graduate","","Full-Time Student","94521"
"20",20,1,"Some Involvement","2",5.67,6,5,6,3,7,7,5.5,6,6,6,5,5,5,3.5,4.1,2.9,3.5,2,2,22,"Female","1","Graduate","Graduate","","Full-Time Employed","46226"
"21",21,1,"Some Involvement","1",2.67,4,4,2,2,2,2,5.5,6,6,6,6,5,4,5.47,5,6.1,5.3,3,3,22,"Female","1","Graduate","Graduate","","Full-Time Student","47274"
"22",22,1,"High Involvement","2,4,7",6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,6,5,23,"Female","1","Graduate","Graduate","","Full-Time Student","47274"
"23",23,1,"No Involvement","3,8",2,2,2,2,2,2,2,6,7,5,6,6,6,6,4,4,4,4,4,4,26,"Female","1","Graduate","Graduate","","Full-Time Employed","46237"
"24",24,1,"No Involvement","1",2,2,2,2,2,2,2,7,7,7,7,7,7,7,4.57,4,4,5.7,2,4,24,"Male","1","Other","Staff","","Full-Time Employed","46204"
"25",25,1,"Some Involvement","1,3",1.33,2,1,1,1,2,1,5.5,5,5,6,6,6,5,3.23,2.7,4.3,2.7,1,2,23,"Female","1","Graduate","Graduate","","Full-Time Student","46208"
"26",26,1,"No Involvement","8",1,1,1,1,1,1,1,5.33,6,4,7,7,4,4,5.33,5,5,6,5,6,28,"Female","4","Graduate","Graduate","","Full-Time Student","46143"
"27",27,1,"No Involvement","8",4,4,4,4,4,4,4,4.33,4,5,4,5,4,4,4,4,4,4,4,4,25,"Male","4","Graduate","Graduate","","Full-Time Student","46202"
"28",28,1,"No Involvement","8",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,23.5,"Male","7","Graduate","Graduate","","Full-Time Employed","12345"
