Finished,Jag_Assoc_Group,Jag_Assoc,ID_JagAvg,ID_JagCom,ID_JagOverlap,ID_JagAttach,ID_JagBelong,ID_JagValue,ID_JagImportant,ID_iupuiAvg,ID_iupuiCom,ID_iupuiOverlap,ID_iupuiAttach,ID_iupuiBelong,ID_iupuiValue,ID_iupuiImportant,Jag_feelingsAvg,Jag_feelings_overall,Jag_feelings_pleasant,Jag_feelings_attractive,Future_part,Future_donate,Age,Gender,Race,iupuiStatus,iupuiStatus_other,Employment,Zip
1,1,"3,8",5.33,5,5,5,5,7,5,6.50,6,6,6,7,7,7,7.00,7,7,7,6,6,23,2,4,5,,1,46202
1,1,8,1.50,1,4,1,1,1,1,3.67,4,4,2,4,4,4,3.90,4,3.9,3.8,4,2,23,2,1,5,,2,46202
1,1,8,4.00,4,4,4,4,4,4,5.00,5,5,5,5,5,5,4.13,4,4.2,4.2,4,4,27,1,1,5,,2,46202
1,1,8,1.67,4,2,1,1,1,1,4.50,5,6,2,2,6,6,4.03,4.2,4,3.9,3,1,32,1,4,5,,4,46222
1,1,3,1.00,1,1,1,1,1,1,5.33,6,5,5,6,5,5,4.87,4.9,5.8,3.9,1,3,19,2,2,3,,2,46214
1,1,8,1.00,1,1,1,1,1,1,4.00,5,2,3,5,5,4,1.97,2,2,1.9,1,1,22,1,1,5,,2,46131
1,1,8,3.00,4,4,4,2,2,2,3.67,5,5,2,2,5,3,4.67,4.8,4.6,4.6,2,1,36,2,1,5,,4,46201
1,1,8,1.00,1,1,1,1,1,1,4.83,5,4,5,5,5,5,4.00,4,4,4,3,3,25,1,1,5,,3,46225
1,1,3,3.33,2,5,5,5,2,1,5.67,6,6,6,6,5,5,6.67,6,7,7,6,5,25,2,4,5,,2,46202
1,1,"3,8",1.00,1,1,1,1,1,1,5.67,7,7,7,5,4,4,3.20,3,3.9,2.7,1,1,18,2,1,1,,2,46202
1,2,"1,3",1.00,1,1,1,1,1,1,6.17,6,5,5,7,7,7,3.83,4,3.5,4,1,1,23,2,6,4,,2,46214
1,1,3,1.67,1,5,1,1,1,1,4.00,5,5,2,4,4,4,6.00,7,6,5,1,4,23,1,1,5,,2,46222
1,1,"3,8",1.17,2,1,1,1,1,1,5.17,5,5,5,6,5,5,4.83,5,5,4.5,5,5,23,1,1,5,,2,46060
1,2,1,4.33,6,4,4,4,4,4,4.67,4,4,5,5,5,5,7.00,7,7,7,5,5,23,2,4,5,,2,46217
1,3,"1,2,3,4",4.67,5,5,1,5,6,6,6.00,7,5,6,6,6,6,1.00,1,1,1,1,3,22,1,7,9,,4,46302
1,1,3,2.00,2,2,2,2,2,2,6.00,7,5,6,6,6,6,5.37,6,5,5.1,3,2,23,1,1,5,,2,46250
1,1,8,4.00,4,4,4,4,4,4,4.33,6,4,4,4,4,4,4.80,4.6,5.6,4.2,3,4,22,2,"1,2",5,,2,46220
1,1,8,3.33,4,4,4,4,3,1,4.33,6,4,4,4,4,4,5.50,6.2,4.5,5.8,5,5,26,2,4,5,,2,46202
1,1,"3,8",2.83,3,3,3,3,3,2,6.17,7,6,6,6,6,6,6.23,6.1,6.2,6.4,5,6,23,2,4,5,,2,94521
1,2,2,5.67,6,5,6,3,7,7,5.50,6,6,6,5,5,5,3.50,4.1,2.9,3.5,2,2,22,2,1,5,,4,46226
1,2,1,2.67,4,4,2,2,2,2,5.50,6,6,6,6,5,4,5.47,5,6.1,5.3,3,3,22,2,1,5,,2,47274
1,3,"2,4,7",6.00,6,6,6,6,6,6,6.00,6,6,6,6,6,6,7.00,7,7,7,6,5,23,2,1,5,,2,47274
1,1,"3,8",2.00,2,2,2,2,2,2,6.00,7,5,6,6,6,6,4.00,4,4,4,4,4,26,2,1,5,,4,46237
1,1,1,2.00,2,2,2,2,2,2,7.00,7,7,7,7,7,7,4.57,4,4,5.7,2,4,24,1,1,7,,4,46204
1,2,"1,3",1.33,2,1,1,1,2,1,5.50,5,5,6,6,6,5,3.23,2.7,4.3,2.7,1,2,23,2,1,5,,2,46208
1,1,8,1.00,1,1,1,1,1,1,5.33,6,4,7,7,4,4,5.33,5,5,6,5,6,28,2,4,5,,2,46143
1,1,8,4.00,4,4,4,4,4,4,4.33,4,5,4,5,4,4,4.00,4,4,4,4,4,25,1,4,5,,2,46202
